0,302453.792866035,4123700.03487159,0,
1,302454.366331134,4123700.90193351,0,
2,302454.923622163,4123701.80113969,0,
3,302455.486968472,4123702.71784984,0,
4,302456.015476479,4123703.59302842,0,
5,302456.540294752,4123704.55123213,0,
6,302457.018329982,4123705.43995105,0,
7,302457.525811967,4123706.38091635,0,
8,302458.004096024,4123707.28021732,0,
9,302458.539945528,4123708.22757367,0,
10,302459.09296497,4123709.18511386,0,
11,302459.621887281,4123710.07792932,0,
12,302460.174325442,4123711.01077823,0,
13,302460.692796927,4123711.93913256,0,
14,302461.170831352,4123712.82785169,0,
15,302461.702035937,4123713.81766897,0,
16,302462.192014889,4123714.73434137,0,
17,302462.705343659,4123715.68399256,0,
18,302463.200796734,4123716.59347761,0,
19,302463.714083788,4123717.54136518,0,
20,302464.197923961,4123718.4370064,0,
21,302464.711252307,4123719.38665769,0,
22,302465.230552901,4123720.35028562,0,
23,302465.744171545,4123721.31228265,0,
24,302466.222952022,4123722.23274805,0,
25,302466.729892552,4123723.15078616,0,
26,302467.248570176,4123724.08795919,0,
27,302467.761067828,4123725.0023373,0,
28,302468.261413165,4123725.87994387,0,
29,302468.761675395,4123726.75402314,0,
30,302469.320249927,4123727.70790387,0,
31,302469.837972466,4123728.60451269,0,
32,302470.367598088,4123729.5273111,0,
33,302470.891583272,4123730.45024226,0,
34,302471.392550519,4123731.35430402,0,
35,302471.900112535,4123732.29879742,0,
36,302472.390587462,4123733.23663437,0,
37,302472.875961477,4123734.19753173,0,
38,302473.338774095,4123735.15896002,0,
39,302473.800590586,4123736.07806031,0,
40,302474.267798296,4123736.9864459,0,
41,302474.753088908,4123737.94381603,0,첫 번째 주차 점으로부터 6m전 속도 줄여주기 
42,302475.254968378,4123738.88667867,0,
43,302475.773187692,4123739.80445183,0,
44,302476.285434566,4123740.7082484,0,
45,302476.803570665,4123741.62249428,0,
46,302477.316066342,4123742.5368729,0,
47,302477.828271408,4123743.43890589,0,주차정지
48,302478.508399388,4123744.28228357,0,
49,302479.12694025,4123745.14652158,0,
50,302479.671990872,4123746.00543032,0,
51,302480.189088811,4123746.8755847,0,
52,302480.650405994,4123747.77352132,0,
53,302481.151993791,4123748.7040386,0,
54,302481.636287038,4123749.61908107,0,
55,302482.114732381,4123750.52543794,0,
56,302482.615323875,4123751.41362728,0,
57,302483.144988327,4123752.33819008,0,
58,302477.654391288,4123741.80540773,1,
59,302478.172776073,4123742.73023572,1,LD를 고려한 직진 0번 
60,302478.691160858,4123743.65506371,1,여기서부터 주차 하는 거 넣으면 될 듯 함.
61,302479.247865751,4123744.52957999,1,
62,302479.980786155,4123745.21819151,1,
63,302480.900206712,4123745.67830485,1,
64,302481.919364712,4123745.82020014,1,
65,302482.968546609,4123745.79904184,1,
66,302483.97940827,4123745.82819538,1,
67,302484.991141399,4123745.89438605,1,
68,302485.996196713,4123745.91661789,1,
69,302486.996317177,4123745.9689649,1,
70,302485.424740286,4123745.85418453,2,
71,302484.378791769,4123745.77291709,2,
72,302483.332926218,4123745.69517712,2,
73,302482.304230591,4123745.62762113,2,
74,302481.295730712,4123745.45900534,2,
75,302480.309663856,4123745.04457628,2,
76,302479.4563915,4123744.51761466,2,
77,302478.701117219,4123743.83835241,2,
78,302478.10650702,4123743.03178457,2,
79,302477.59509048,4123742.16326125,2,
80,302478.085270007,4123742.84876131,3,
81,302478.687844563,4123743.75396181,3,
82,302479.22348219,4123744.692501,3,
83,302479.723908299,4123745.57363553,3,
84,302480.277006156,4123746.5347043,3,
85,302480.782906372,4123747.40865149,3,
86,302481.324889374,4123748.37704043,3,
87,302481.838380189,4123749.33374733,3,
88,302482.333704957,4123750.23794238,3,
89,302482.857521691,4123751.15381955,3,
90,302483.391664455,4123752.02886695,3,
91,302483.897937548,4123752.91868731,3,
92,302484.411012835,4123753.85775768,3,
93,302484.929520829,4123754.78787701,3,
94,302485.440728434,4123755.64758239,3,
95,302485.974870679,4123756.52262994,3,
96,302486.543892135,4123757.44097292,3,
97,302487.056510397,4123758.36064308,3,
98,302487.575017855,4123759.29076257,3,
99,302488.082576579,4123760.23525685,3,
100,302488.555131399,4123761.13116475,3,
101,302489.033409425,4123762.03046731,3,
102,302489.558054749,4123762.98161819,4,
103,302490.081164528,4123763.86751341,4,
104,302490.307092375,4123765.55449077,4,
105,302490.796318235,4123766.43941874,4,
106,302491.285544095,4123767.32434671,4,
107,302491.774769955,4123768.20927468,4,
108,302492.263995815,4123769.09420265,4,4번 시작 비신호 좌회 정지선으로부터 10m전
109,302492.753221675,4123769.97913062,4,
110,302493.243567879,4123770.91167764,4,
111,302493.785050146,4123771.8589033,4,
112,302494.269091875,4123772.7633644,4,
113,302494.811860343,4123773.76526381,4,
114,302495.301708158,4123774.67664693,4,
115,302495.838670109,4123775.67162443,4,
116,302496.334116511,4123776.58111122,4,
117,302496.823383059,4123777.46780308,4,
118,302497.336746074,4123778.41921982,4,
119,302497.814897817,4123779.31323181,4,
120,302498.311796211,4123780.28444707,4,
121,302498.791856609,4123781.25958782,4,
122,302499.255037526,4123782.23689039,4,
123,302499.677823384,4123783.17632124,4,
124,302500.084850188,4123784.16553293,4,
125,302500.424027434,4123785.14928246,4,
126,302500.661471935,4123786.12660239,4,
127,302500.872291804,4123787.17160523,4,
128,302500.993862942,4123788.26105942,4,
129,302500.980067179,4123789.35369857,4,
130,302500.864538796,4123790.43990812,4,
131,302500.614058572,4123791.54693933,4,
132,302500.227381662,4123792.62188219,4,
133,302499.732377558,4123793.64996384,4,
134,302499.210870251,4123794.51102793,4,
