"302500.993862942,4123788.26105942"
"302500.980067179,4123789.35369857"
"302500.864538796,4123790.43990812"
"302500.614058572,4123791.54693933"
"302500.227381662,4123792.62188219"
"302499.732377558,4123793.64996384"
"302499.210870251,4123794.51102793"
"302498.521192,4123795.42016502"
"302497.7557419,4123796.22697102"
"302496.924846067,4123796.89061616"
"302496.029251426,4123797.44284648"
"302495.167291101,4123797.9854623"
"302494.29342785,4123798.50188862"
"302493.368926678,4123799.02480046"
"302492.421947491,4123799.55177058"
"302491.502464344,4123800.04809491"
"302490.582732307,4123800.53383733"
"302489.651761315,4123801.02160895"
"302488.749531307,4123801.53164479"
"302487.830256074,4123802.03678787"
"302486.883526543,4123802.57434065"
"302485.94799469,4123803.10810079"
"302485.01797873,4123803.6364373"
"302484.104261212,4123804.13792076"
"302483.213644416,4123804.66180112"
"302482.294494337,4123805.17223584"
"302481.346852474,4123805.67098859"
"302480.387847172,4123806.16647957"
"302479.44547229,4123806.64922682"
"302478.503388028,4123807.14431985"
"302477.584030979,4123807.64593677"
"302476.687110628,4123808.1417319"
"302475.757137268,4123808.67183316"
"302474.888584511,4123809.17401954"
"302473.997636764,4123809.68379159"
"302473.129831255,4123810.21772417"
"302472.308559127,4123810.81055973"
"302471.487162605,4123811.39810438"
"302470.649675442,4123812.02132065"
"302469.88107526,4123812.69409063"
"302469.10861957,4123813.44283113"
"302468.445113833,4123814.26488754"
"302467.777088546,4123815.13469578"
"302467.20532153,4123816.01812066"
"302466.809689609,4123816.95210463"
"302466.472369658,4123817.96589002"
"302466.231681425,4123819.00916502"
"302466.019277605,4123820.0553037"
"302465.908606171,4123821.10787156"
"302465.893404248,4123822.14054632"
"302465.930126844,4123823.22140918"
"302466.062609423,4123824.2947246"
"302466.249668441,4123825.28911133"
"302466.510050836,4123826.28177255"
"302466.821569085,4123827.28911221"
"302467.206327655,4123828.29119904"
"302467.583910239,4123829.22816291"
"302468.113987295,4123830.17036141"
"302468.620548618,4123831.0725265"
"302469.138473364,4123831.9779535"
"302469.627823174,4123832.86817116"
"302470.100127613,4123833.75349603"
"302470.601670821,4123834.68224897"
"302471.068417811,4123835.57123396"
"302471.570251345,4123836.51233263"
"302472.072624314,4123837.47635901"
"302472.568858887,4123838.41935412"
"302473.086284768,4123839.30361733"
"302473.638880165,4123840.24352156"
"302474.150084544,4123841.1032262"
"302474.706659866,4123841.97245106"
"302475.281193389,4123842.88536947"
"302475.803926978,4123843.75539075"
"302476.316334517,4123844.66624187"
"302476.806056443,4123845.57233291"
"302477.295280249,4123846.45725997"
"302477.796448488,4123847.37014029"
"302478.229892148,4123848.28284966"
"302478.69298952,4123849.25662379"
"302479.160025465,4123850.15795485"
"302479.6290534,4123851.14394199"
"302480.101355891,4123852.02926736"
"302480.724284833,4123852.84046254"
"302481.430655286,4123853.60028422"
"302482.230668689,4123854.26261164"
"302483.156506472,4123854.75610177"
"302484.151600224,4123855.0750272"
"302485.220967725,4123855.19280022"
"302486.235173968,4123855.12481905"
"302487.230550483,4123854.97610745"
"302488.263956227,4123854.76473857"
"302489.24365335,4123854.42934387"
"302490.226293319,4123853.97917816"
"302491.157341207,4123853.49493366"
"302492.043723733,4123853.03115133"
"302492.979623584,4123852.51326464"
"302493.859868075,4123852.02845122"
